data,class,class_description,property,property_description
company,Winner,organisation that won a tender or contract,hasLegalName,the legal name of an organisation
public procurement,Contract,contract,hasContractConclusionDate,date of contract conclusion
public procurement,Contract,contract,hasTitle,title of contract
company,Buyer,buyer of a contract,hasLegalName,the legal name of an buyer organisation
company,Organization,organisation,hasLegalName,the legal name of an organisation
company,Organization,organisation,hasMainActivity,main activitiy of organisation
public procurement,Procedure,procurement procedure,hasTitle,title of procedure
public procurement,Procedure,procurement procedure,hasProcedureType,type of procedure
public procurement,Procedure,procurement procedure,hasDescription,description of procedure
public procurement,Procedure,procurement procedure,isAccelerated,whether procedure is accelerated
public procurement,Procedure,procurement procedure,hasAdditionalInformation,additional information about procedure
public procurement,Procedure,procurement procedure,hasProcurementScopeDividedIntoLot,has divided procurement scope
public procurement,Procedure,procurement procedure,urgency_name,urgency name
public procurement,Notice,notice,hasID,ID of notice
public procurement,Notice,notice,hasPublicationDate,notice publication date
public procurement,Notice,notice,hasDispatchDate,notice dispatch date or submission deadline
public procurement,Notice,notice,publisher,notice publisher
public procurement,Tender,tender,tenderSubmissionDeadline,dispatch date of tender
public procurement,Tender,tender,hasPublicationDate,tender publication date
public procurement,Tender,tender,hasID,ID of tender
public procurement,Lot,lots,hasDescription,description of lot
public procurement,Lot,lots,hasAdditionalInformation,additional information about lot
public procurement,Monetary value,amount in millions,hasAmountValue,value of the money
public procurement,Monetary value,amount in millions,hasCurrency,currency of the money
public procurement,Identifier,identifier,hasIdentifierValue,value of identifier
company,Address,address,hasNutsCode,nuts code of procurement address
company,Address,address,postName,name of address
public procurement,Contract_term,contract term,hasContractNatureType,contract type
company,Location,location,hasNutsCode,nuts code of procurement location
